,Minimum wage,Annual,Annual,Workweek (hours)[4],Hourly,Hourly,Percent of GDP per capita[5],Effective per
"('Canada',)",The minimum wage in Canada is set federally and by each province and territory; ranges from CA$13 to CA$16 (US$9.69 to US$11.93) per hour. The minimum wage calculated here is a weighted average based on the relative population in each province.[10][57][58],24128.0,22176.0,40,11.6,10.66,49.5%,1 June 2022
"('Cape Verde',)",13.000$00 (US$141) per month.[59][60],1673.0,3414.0,44,0.73,1.49,52.1%,1 Jan 2018
"('Central African Republic',)","FCFA 35,000 per month, FCFA 218.75 per hour.[61][62]",821.0,1539.0,40,0.39,0.74,220.3%,2011
"('Chad',)","FCFA 59,995 (US$110) per month, FCFA 355 (US$0.60) per hour.[10][63][64]",1298.0,3484.0,39,0.64,1.72,175%,18 Oct 2011
"('Chile',)","CL$529,000 (US$553 per month for workers aged 18–65; or CL$394,622 (US$412) per month for workers younger than 18 and older than 65; and CL$340,988 (US$356) per month for 'non remunerative' purposes.[65]",8364.0,13949.0,44,3.66,6.1,60.1%,1 May 2025
"('China',)","The minimum wage in China is set locally; ranges from CN¥ 1,620 (US$222.75) per month, or CN¥ 16.1 (US$2.21) per hour in Guangdong(Lowest Region); to CN¥ 2,690 (US$369.88) per month, or CN¥ 24 (US$3.30) per hour in Shanghai.[18][66][67]",3014.0,5049.0,40,1.45,2.43,32.5%,1 Jan 2025
"('Colombia',)","COL$1,423,500 + COL$200,000 by transportation subsidy (US$350) per month[68]",5638.0,15388.0,48,2.26,6.17,108.7%,1 Jan 2025
"('Comoros',)","CF 55,000 (US$129) per month.[10]",1587.0,3037.0,40,0.76,1.46,199.5%,2017
"('Democratic Republic of the Congo',)","FC 1,680 (US$1.83) per day.[10][69]",220.0,741.0,45[70],0.09,0.32,92.4%,1 Jan 2009
"('Republic of the Congo',)","FCFA 90,000 (US$170) per month in the formal sector.[10]",1948.0,3663.0,40,0.94,1.76,64.1%,2017
"('Costa Rica',)","Varies for specified industries from ₡11,953.65 (US$23.21) per 8-hour work day for all workers to ₡15,613.91 (US$30.32) per day for specialized workers. All other occupations not explicitly covered fall under the generic scale, which varies from ₡358,609.5 (US$696.42) per month for unskilled workers to ₡765,985.67 (US$1,487.54) per month for licentiates.[71]",6932.0,11530.0,48,2.78,4.62,69.4%,1 Jan 2024
"(""Côte d'Ivoire"",)","Varies by occupation, with the lowest set to CFA 60,000 (US$120) per month for the industrial sector; a slightly higher minimum wage rate is applied for construction workers.[10][72][73]",792.0,1868.0,40,0.38,0.9,50.6%,2013
"('Croatia',)",€840 (US$900) per month.,1585.0,2520.0,40,0.76,1.21,10.8%,1 Jan 2024
"('Cuba',)","$MN2,100 (US$6.66) per month.[74][75] Each citizen is however also given free food to supplement the salary.",44.0,669.0,48,0.44,0.74,0.4%,2021
"('Cyprus',)","None; €870 (US$1,006) per month for shop assistants, nurses' assistants, clerks, hairdressers, and nursery assistants; it rises to €924 (US$1,069) after six months' employment. For asylum seekers working as unskilled workers in the agricultural sector, the minimum monthly wage was €425 (US$570) with accommodation and food provided. For skilled workers in the agricultural sector, the minimum salary was €767 (US$1,040) without accommodation and food.[10]",,,48,,,,2017
"('Czech Republic',)","Czech Republic monthly minimum wage 20,800 czy (850 dollars)",9959.0,15119.0,40,4.79,7.27,43.5%,1 Jan 2025
"('Denmark',)","None; instead, negotiated between unions and employer associations; the average minimum wage for all private and public sector collective bargaining agreements was approximately kr. 110 (nominally US$16) per hour, exclusive of pension benefits.[10][76]",,,37.5,,,,2017
"('Djibouti',)","None; cancelled by the 2006 Labor Code for occupational categories, establishing that wages be set after common agreement between employers and employees. For public sector workers, minimum wage was Fdj35,000 (US$198) per month.[10][77]",,,48,,,,2017
"('Dominica',)",EC$4 (US$1.50) per hour.[10][78][79],3081.0,4223.0,40,1.48,2.03,38.6%,1 June 2008
"('Dominican Republic',)","RD$8,310 (US$166) per month in the FTZs and between RD$9,412 (US$188) and RD$15,448 (US$309) outside the FTZs, depending upon the size of the company; RD$5,884 (US$117) per month for the public sector; RD$320 (US$6) a day for farm workers who are covered by minimum wage regulations based on a 10-hour day, with the exception of sugarcane workers who received RD$146 based on an eight-hour workday.[10][80][81]",2613.0,6704.0,44,1.14,2.93,44.1%,2021
"('Ecuador',)","US$594 per month (including mandatory 13th and 14th salaries, minimal 15 days vacation period per year and mandatory reserve funds after one year of continuous work). The minimum wage set by the government for 2025 is $470 per month without social benefits. Workers receive mandatory 13th and 14th salaries, paid vacations and reserve funds equal to an additional salary after one year of continuous work.[82]",7124.0,11679.0,40,3.43,5.61,103.9%,1 Jan 2025
"('Egypt',)","None; The minimum wage of public sector is LE 6,000 (US$118.4) per month.[83] The private sector (There are certain grace periods in certain industries such as tourism, retail, and clothing.) is LE 7,000 (US$138.1) per month.[84]",,,42,,,,May 2024
"('El Salvador',)",The minimum wage was set by the government at US$304.17 monthly in 2018.[10][18][85],3650.0,7019.0,44,1.6,3.07,81.5%,1 Jan 2018
"('Equatorial Guinea',)","FCFA 129,035 (US$224) per month.[10]",2792.0,4479.0,48,1.12,1.79,17.2%,2017
"('Eritrea',)",None; Nfk 360 (US$23.3) per month in the public sector.[10],,,44.5,,,,2017
"('Estonia',)","€725 (US$857) per month, or €4.30 (US$5.09) per hour.[86][18]",10578.0,14662.0,40,5.09,7.05,49.3%,1 Jan 2023
"('Eswatini',)",E 531.6 (US$76.50) per month for a domestic worker; E 420 (US$60.50) a month for an unskilled worker; E 600 (US$86.50) a month for a skilled worker.[77],694.0,1128.0,48,0.33,0.54,19%,2011
"('Ethiopia',)","None; some government institutions and public enterprises set their own minimum wages: public sector employees, the largest group of wage earners, earned a monthly minimum wage of Br 420 (US$21); employees in the banking and insurance sector had a minimum monthly wage of Br 336 (US$18).[10]",,,48,,,,2017
"('Federated States of Micronesia',)","None; US$2.65 per hour for employment with the national government; all states have a minimum hourly wage for government workers: US$2.00 in Pohnpei, US$1.25 in Chuuk, US$1.42 in Kosrae, and US$1.60 in Yap; US$1.75 for private sector workers in Pohnpei.[10]",,,40,,,,2015
"('Fiji',)",FJ$2.68 per hour.[87][88],4823.0,7800.0,48,1.93,3.13,85.6%,December 2024
"('Finland',)","None; however, the law requires all employers, including non-unionized ones, to pay minimum wages agreed to in collective bargaining agreements; almost all workers are covered under such arrangements.[10]",,,40,,,,2017
"('France',)","The monthly minimum wage in France is 1801€, that is, 11.88€ per hour.",25572.0,24852.0,35,14.05,13.66,60.1%,1 Jan 2025
"('Gabon',)","FCFA 150,000 (US$255) per month; government workers received an additional monthly allowance of FCFA 20,000 (US$34) per child; government workers also received transportation, housing, and family benefits; the law does not mandate housing or family benefits for private sector workers.[10][89]",3246.0,4865.0,40,1.56,2.34,26.9%,1 Feb 2010
"('The Gambia',)",D 50 (US$1.25) per day.[10],253.0,958.0,48,0.1,0.38,57.1%,2017
"('Georgia',)","₾20 (US$8) per month for private sector workers which has remained unchanged since the early 1990s but is not applied in practice; ₾115 (US$48) per month for public employees;[10] ₾1,260 (US$478) for doctors and ₾792 (US$301) for nurses working in clinics involved in the state's universal healthcare program.[90]",93.0,353.0,40,0.04,0.17,3.5%,2017
"('Germany',)","The monthly minimum wage in Germany is 2051€ that is, 12.82€ per hour.",31537.0,32127.0,40[91],15.16,15.45,65.8%,1 Jan 2025
"('Ghana',)",₵18.19 (US$1.2) per day.[18][92],814.0,3307.0,40,0.39,1.59,77%,1 Jan 2024
"('Greece',)","€968 (US$1145) per month in 12 payments, €830 (US$982) per month in 14 payments.[93]",13738.0,17082.0,40,6.6,8.21,63.8%,1 Apr 2024
"('Grenada',)","Minimum wage schedules set pay by occupation; for example, the minimum wage for domestic workers, for example, was EC$4.5 per hour, while that for a security guard was EC$8 per hour.[10]",,,40,,,,2017
"('Guatemala',)","Q 81.87 (US$10.9) per day for agricultural and nonagricultural work and Q 74.89 (US$10) per day for work in export-sector regime factories. Minimum wage earners also are due a mandatory monthly bonus of Q 250 (US$33), and salaried workers receive two mandatory yearly bonuses (the bono 14 and the Christmas bonus), each equivalent to one month's salary.[10][18]",3924.0,6974.0,48,1.57,2.79,87.8%,1 Jan 2016
"('Guernsey',)",£8.70 stg per hour (US$11.60) for those aged 18+ £8.25 per hour (US$11.00) for those aged 17–18.[94],,,,,,,1 Jan 2021
"('Guinea',)","The labor code allows the government to set a minimum hourly wage; however, the government has not exercised this provision except for setting the minimum wage for domestic workers at FG 440,000 (US$62) per month.[10]",,,48,,,,2017
"('Guinea-Bissau',)","CFA 19,030 (US$30) per month plus a bag of rice[95]",412.0,935.0,45,0.18,0.4,58.1%,2017
"('Guyana',)","GY$35,000 (US$168) per month, or GY$1,616 (US$7) per day, or GY$202 (US$1) per hour.[96]",2015.0,3204.0,40,0.97,1.54,40.9%,1 July 2013
"('Haiti',)",G 290 per day for servants for an eight-hour workday; G 400 per day for segment A industries; G 350 per day for segment B industries; G 290 per day for segment C industries; G 350 per day for companies with piece work that re-export; and G 350 per day for companies with piece work that exports.[97][10][98][99][100],1014.0,3194.0,48,0.41,1.28,179.1%,1 Aug 2017
"('Honduras',)","Minimum wages ranged from a low of L 8,134.08 per month, L 50.83 per hour to L 16,856.24 per month, L 105.35 per hour.[10][18][101]",4842.0,9898.0,44,2.12,4.33,209%,1 Jan 2024
"('Hong Kong',)",HK$40 (US$5.1) per hour is the minimum wage in Hong Kong.[102],10708.0,12899.0,40,5.15,6.2,22%,1 May 2023
"('Hungary',)","232,000 Ft (US$765) per month for unskilled labor, 296,400 Ft (US$978) per month for skilled labor.[103]",9184.0,18636.0,40,4.42,8.96,69.8%,1 Jan 2023
"('Iceland',)","Unlike the other Scandinavian countries, minimum wages are negotiated in various collectively bargained agreements and applied automatically to all employees in those occupations, regardless of union membership; while the agreements can be either industry- or sector-wide, and in some cases firm-specific, the minimum wage levels are occupation-specific.[10][36]",,,40,17.45,,,"3 Dec 2022 (conversion rate, 1 Sep 2023)"
"('India',)","Though stipulated by law, it varies from ₹160 (US$2.16) per day in Bihar, to ₹348/day (US$4.7) in Mumbai (2017),[104] to ₹750 (US$10) per day in Kerala. State governments set a separate minimum wage for agricultural workers.[10] The minimum wages are set according to Minimum Wages Act, 1948.[105]",674.0,2498.0,48,0.27,1.0,38%,2015
"('Indonesia',)","Established by provincial and district authorities, which vary by province, district, and sector; the lowest minimum wage is in the province of Yogyakarta at Rp 1,704,608 (US$121) per month and the highest is in Jakarta at Rp 4,276,349 (US$303) per month.[18][106]",2449.0,7028.0,40,1.18,3.38,60.5%,1 Feb 2020
"('Iran',)","7,308,284 tomans (equal to ﷼94,661,840), and to US$145 as of 2024) per month effective on the 2024 Persian New year (﷼1,135,942,080 per annum);[107] set annually for each industrial sector and region. The standard workweek is 44 hours, and any work over 48 entitles the worker to overtime.[10]",1747.0,2029.0,44[108],0.76,0.89,11%,20 Mar 2024
"('Iraq',)","د.ع 250,000 (US$214) per month.[10]",2069.0,5222.0,40,0.99,2.51,30.1%,2014
"('Ireland',)","€12.70 (US$14.2) per hour, with sub-minimal rates for those aged 19 €11.43 (90% minimum), aged 18 €10.16 (80% minimum) and for those under the age of 18 €8.89 (70% of minimum)[109] Eurostat calculates the monthly rate for Ireland as (hourly rate x 39 hours x 52 weeks) / 12 months.[110]",28302.0,23930.0,39,13.96,11.8,33.5%,1 Jan 2024
"('Isle of Man',)",£8.25 stg per hour (US$10.18) for those aged 18+ £6.15 per hour (US$7.59) for those aged under 18 £7.30 per hour (US$9.01) for development workers.[111],,,,,,,1 Oct 2019
"('Israel',)","₪6,247.67 ILS (US$1934) per month; or ₪34.32 ILS (US$10.63) per hour.[112]",23211.0,16962.0,42,10.63,7.77,45.5%,1 Apr 2025
"('Italy',)",None; instead set generally through collective bargaining agreements on a sector-by-sector basis.[10][113],,,40,,,,2019
"('Jamaica',)","J$325 (US$2) per hour.[114] J$52,000 (US$343) per month",4461.0,8476.0,40,2.14,4.08,96.1%,1 Apr 2023
"('Japan',)","Ranges from ¥951–¥1,163 per hour (US$6.56-US$8.02); varies on a prefectural and industry basis.[115][116]",18024.0,18461.0,40,8.67,8.88,43.7%,1 Nov 2024
"('Jersey',)",£8.32 stg per hour (US$10.27) for those aged 18+ £7.28 stg per hour (US$8.99) for trainees year 2. £6.02 stg per hour (US$7.43) for trainees year 1.[117],,,,,,,1 Apr 2020
"('Jordan',)",minimum wage 290 JOD ($409) per month,5408.0,11636.0,48,2.17,4.66,128.6%,1 Jan 2025
"('Kiribati',)","$A 1.30 per hour for local businesses and companies, while the minimum wage for overseas-funded projects is $A 3.00 an hour[10][118]",2033.0,2731.0,40,0.98,1.31,129.5%,1 Nov 2016
"('North Korea',)","Averaging ₩5,000 – 10,000 (US$5.5 – US$11.1) per day.[119]",,,,,,,2014
"('South Korea',)","₩9,620 (US$7.29 as of 2 Feb 2023) per hour is the nominal minimum wage in South Korea.[120]",20990.0,23922.0,40,10.09,11.5,65.5%,1 Jan 2023
"('Kosovo',)",€170 (US$224) per month for workers between 35 and 65 years of age; €130 (US$150) for workers under 35 years of age.[10][121],2413.0,5667.0,40,1.16,2.72,56.3%,17 Aug 2011
"('Kuwait',)",د.ك 60 (US$216) per month.[10][122],2400.0,3600.0,48,0.96,1.44,4.8%,14 Apr 2010
"('Kyrgyzstan',)","KGS 2,460 (US$28) per month, nominally; used for administrative purposes. Will be raised to 2,865 som in 2025.[123]",349.0,1427.0,40,0.17,0.69,40.2%,1 Jan 2024
"('Laos',)","₭800,000 (US$100) per month; additionally, employers were required to pay a ₭30,000 (US$3.74) meal allowance per day. The minimum wage for civil servants and state enterprise employees was last increased to ₭1,400,000 (US$170) per month.[10][124][125]",1732.0,5180.0,48,0.69,2.08,79.1%,2014
"('Latvia',)",€740 (US$999) per month.[126],10502.0,15579.0,40 [126],5.05,7.49,60.9%,1 Jan 2023
"('Lebanon',)","ل.ل 18,000,000 (US$200) per month, doubling the minimum wage of ل.ل 9,000,000 set the year before, on 18 Apr 2023.[10][127]",5373.0,8947.0,48,2.15,3.58,62.5%,1 Apr 2024
"('Lesotho',)","M 1,178 (US$102) per month to M 1,285 (US$112) per month; varied by sector.[10]",956.0,3027.0,45,0.41,1.29,102.6%,2014
"('Liberia',)","L$15 (US$0.31) per hour not exceeding 8 hours per day, excluding benefits, for unskilled laborers; L$5,600 (US$114) per month for civil servants.[10]",4.0,10.0,48,0,0.0,1.2%,2014
"('Libya',)",ل.د 450 (US$325) per month; the government heavily subsidizes rent and utilities.[10][128][129][130],1169.0,9643.0,40,0.56,4.64,166.2%,1 Mar 2011
"('Liechtenstein',)",None[10],,,48,,,,2014
"('Lithuania',)","€1,038 (US$1228) per month, €6.35 (US$7.51) per hour for unskilled labor.[131]",15621.0,25898.0,40,7.51,12.45,86.7%,1 Jan 2025
"('Luxembourg',)","€2,508.24 (US$2966) per month, €14.50 (US$17.15) per hour for unskilled workers over 18; increased by 20% for a skilled employee; decreased by 20% to 25% in the case of an adolescent worker.[132][36][133][134]",32103.0,26875.0,40,15.43,12.92,26.2%,1 Apr 2023
"('Macau',)","MOP$6,656 (US$833) per month.[135]",9972.0,13584.0,40,4.79,6.53,11.7%,1 Nov 2020
"('Madagascar',)","Ar 133,013.4 (US$30.82) per month, Ar 767.4. per hour for non-agricultural workers; Ar 134,920 (US$31.26) per month, 674.60 Ar. per hour for agricultural workers.[10][18]",376.0,1601.0,41[136],0.18,0.75,106.3%,1 Jan 2015
"('Malawi',)",K687.7(US$0.40) per day.[10][18][137],266.0,1035.0,48,0.11,0.41,88.6%,1 Jan 2016
"('Malaysia',)","RM1,500 (US$336) per month.[138]",4348.0,10843.0,45,1.86,4.63,39.2%,1 May 2022
"('Maldives',)","None; Rf. 3,100 (US$242) per month in the government sector.[10]",,,48,,,,2014
"('Mali',)","CFA 28,465 (US$57), supplemented by a required package of benefits, including social security and health care.[10]",616.0,1560.0,48[139],0.25,0.62,73.4%,2014
"('Malta',)",€792.3 (US$767) per month.[140][141],11245.0,14406.0,40,5.41,6.93,38%,1 Jan 2022
"('Marshall Islands',)",US$2 per hour for government and private sector employees.[10][142],4160.0,3852.0,40[143],2,1.85,95.7%,6 Mar 1986
"('Mauritania',)",UM 25.962 (US$0.71) per hour for general minimum wage rates.[144] UM 24.612 (US$0.67) per hour for the agriculture sector.[145],1473.0,443.0,40[144][145],0.71,0.21,11.5%,2023
"('Mauritius',)","₨ 2,035 (US$56.77) per week for an unskilled worker in the Export Processing Zone(EPZ); ₨ 2,035 per week for an unskilled factory worker outside the EPZ plus a ""salary compensation"" of ₨ 90 per week; set by the government by sector, and increased each year based on the inflation rate. Both categories of workers also benefit from a ""special allowance"" from the revenue agency which means that all full-time workers in Mauritius earn a minimum wage of ₨ 2,250 (US$62.76) per week or ₨ 9,000 (US$251.05) per month [146][147][10]",2538.0,5438.0,45,1.08,2.32,25.8%,2019
"('Mexico',)",Mex$278.8 (US$13.75) per day; Mex$419.88 (US$20.71) per day on the Free Zone of the Northern Border. Day off is paid according to Mexican labor legislation so the total amount of paid hours is 56 (Art. 69) [148],5020.0,10065.0,48,2.01,4.03,58.3%,2025
"('Moldova',)","MDL 4,000 (US$222) per month in the private sector.[149]",2715.0,6997.0,40,1.31,3.36,131.2%,1 Jan 2023
"('Monaco',)","€1,779.82 (US$2105) per month, or €10.53 (US$12.45) per hour; same as the French minimum wage, plus a 5% adjustment.[150]",24092.0,,39,11.88,,17%[151],1 Jan 2019
"('Mongolia',)","₮792,000 (US$229) per month.[152]",3336.0,11443.0,40,1.6,5.5,93.4%,1 Apr 2025
"('Montenegro',)",€450 (US$511) netto per month.[10][153],6387.0,12558.0,40,3.07,6.04,71.2%,1 Jan 2022
"('Morocco',)","MAD 3,500 (US$349) per month[154] in public sector, MAD 3,111 (US$310) per month in private sector,[155] 84.37 Dh, (US$8.42) per day for agricultural workers.[156]",3997.0,8556.0,44[157],1.75,3.74,108.9%,1 July 2015
"('Mozambique',)","Set for Eight different economic sectors; ranges from MT 4,941.68 (US$78) per month in the public sector, to MT 17,881.32 (US$281) per month in the financial sector.[158][10][18]",906.0,2992.0,40,0.44,1.44,245.9%,1 April 2024
"('Myanmar',)","K 3,600 per day, K 450 per hour.[10][159][160]",691.0,3011.0,44,0.3,1.32,52.6%,1 Sep 2015
"('Namibia',)","None; the mining, construction, security and agricultural sectors set basic levels of pay through collective bargaining.[10]",,,45,,,,2014
"('Nauru',)","None; there is a graduated salary system for public service officers and employees, none for private-sector workers.[10]",,,40[161],,,,2014
"('Nepal',)","रू 15,000 (US$126.98) per month[162]",1524.0,4913.0,48,0.61,1.97,198.3%,July 2021
"('Netherlands',)","€2,437.07 (US$2882) per month, and €14.06 (US$16.63) per hour for persons 21 and older; between 30–80% (as low as €4.22 per hour) of this amount for persons aged 15–20.[163] An additional holiday allowance of 8% of the annual wage is paid in May or June, prorated for the time worked in the year.",34588.0,32859.0,40[164],16.63,15.8,65%,1 Jan 2025
"('New Zealand',)","$NZ 23.50 (US$14.23) per hour for workers 18 years old or older, and $NZ 18.80 (US$11.38) per hour for those aged 16 or 17 or in training; there is no statutory minimum wage for employees who are aged 15 years or under.[165]",34667.0,29805.0,40,16.67,14.33,77.3%,1 Apr 2025
"('Nicaragua',)","Set for nine different economic sectors; ranges from C$5,721 (US$155) per month in the agricultural sector to C$12,803 (US$348) per month in the financial sector.[166]",1506.0,4704.0,48,0.6,1.88,84.9%,1 Mar 2024
"('Niger',)","CFA 30,047 (US$60) per month.[10][18]",650.0,1633.0,40,0.31,0.78,165.5%,17 Aug 2012
"('Nigeria',)","₦70,000 per month (following the recent devaluation of the naira has fallen to US$44.28).[167] However, workers who meet the following conditions are exempt from the minimum wage:[168] Part-Time and Commission-Based Employees Businesses with fewer than 25 employees Seasonal Workers: Employees Maritime and Aviation Employees Domestic Workers",2103.0,6793.0,40,1.01,3.27,115.9%,1 May 2024
"('North Macedonia',)","ден 22,146, (US$406) gross per month.[169][170][171]",2418.0,5488.0,40,1.16,2.64,36.7%,1 Apr 2021
"('Northern Cyprus',)","₺24,000. (US$795 as of 19 Jan)",,,40,,,,1 Jan 2024
"('Norway',)","None; wages normally fall within a national scale negotiated by labor, employers, and local governments.[10]",,,37.5,,,,2014
"('Oman',)",ر.ع. 225 (US$592) per month plus allowances of ر.ع. 100 (US$263) per month for citizens; does not apply to foreign workers.[10][172],10263.0,19500.0,45,4.39,8.33,42.5%,1 July 2013
"('Pakistan',)","₨17,500 (US$107) per month.[10][18][41]",1289.0,6546.0,48,0.52,2.62,125%,1 June 2016
"('Palau',)",US$3.00 per hour; does not include foreign workers.[10][173],6240.0,6638.0,40[174],3,3.19,40.7%,1 Oct 2014
"('Palestine',)","₪1,880 ILS (US$582) per month;[175][176][177]",6985.0,,45,2.98,,,2022
"('Panama',)","B/.1.53 to B/.4.45 (US$1.53 – US$4.45) per hour, depending on region and sector. Food and the use of housing facilities were considered part of the salary for some workers, such as domestic and agricultural workers. Salaries for domestic workers ranged from B/.250 to B/.275 (US$250-US$275) per month. The agricultural and construction sectors received the lowest and highest minimum wages, respectively.[10][178][179]",3819.0,6473.0,48,1.53,2.59,28.1%,1 Jan 2018
"('Papua New Guinea',)",K 3.2 (US$1) per hour.[10][180],2086.0,2795.0,44[181],0.91,1.22,66.8%,1 Aug 2014
"('Paraguay',)","2,798,309 ₲ (US$363) per month; The law discriminates against domestic workers, who are legally entitled to only 40 percent of the minimum wage. The law mandates that housing and food be counted towards domestic worker's salary.[10][18][182]",4957.0,12926.0,48,1.99,5.18,135.1%,1 July 2024
"('Peru',)","S/.1,025 (US$244) per month.[183]",3170.0,7069.0,48,1.27,2.83,54.3%,1 June 2022
"('Philippines',)",Ranges from ₱386 (US$6.02) daily non-agricultural wage in Bangsamoro to ₱695 (US$11.57) daily non-agricultural wage in Metro Manila.[184][185],3405.0,8302.0,40[186],1.64,3.99,106.4%,18 July 2025
